; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.004833,67.526715,65.895349,0.003375,0.018041,0.01075,0.001334,0.013,133.491978,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.088081,66.730157,65.894642,0.002667,0.016291,0.010624,0.001334,0.012624,132.773377,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.08558,66.277254,65.212245,0.0035,0.019208,0.011041,0.001292,0.01225,131.638995,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.091205,66.733532,65.661232,0.003083,0.015957,0.01075,0.001417,0.012041,132.546217,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.093873,66.71299,65.582901,0.002874,0.015708,0.011042,0.001417,0.012,132.450219,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.097122,66.689533,65.779936,0.002833,0.015625,0.010666,0.001333,0.01175,132.625006,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,6,5,"Success",0.143662,66.713573,66.003138,0.003583,0.014958,0.011042,0.001666,0.011666,132.919455,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,7,5,"Success",0.094372,66.914901,65.490529,0.002959,0.016416,0.010625,0.001417,0.011833,132.559716,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,8,5,"Success",0.091914,66.556537,65.791894,0.002417,0.016666,0.010666,0.0015,0.011792,132.499676,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,9,5,"Success",0.086164,66.709741,65.741229,0.003,0.014249,0.01075,0.001416,0.010583,132.593799,1024,0,1024,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,10,5,"Success",0.084789,66.741781,65.764021,0.002709,0.015583,0.010333,0.001375,0.011999,132.648797,1024,0,1024,0,0
