; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529481387,"CurrentTimeLocal","Wed Jun 20 09:56:27 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 5.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000459,0.002485,0.0011,9.6e-05,0.000129,0.000173,6.3e-05,0.001347,0.006264,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.00046,0.002538,0.001094,0.000102,0.000127,0.000179,6.1e-05,0.001347,0.006311,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000452,0.002531,0.001103,9.8e-05,0.000129,0.000168,6.4e-05,0.001318,0.006274,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.00046,0.002517,0.001097,0.0001,0.000126,0.000169,6.4e-05,0.001336,0.006268,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000458,0.002531,0.001099,0.000107,0.000131,0.000162,6.1e-05,0.001286,0.00622,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.00046,0.00254,0.001097,0.000108,0.000137,0.000165,6.2e-05,0.001328,0.00629,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000463,0.00256,0.001126,0.000112,0.000134,0.00017,6.5e-05,0.001353,0.006361,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.00046,0.002531,0.001119,0.000103,0.000129,0.000168,6e-05,0.001374,0.006333,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000461,0.002526,0.001126,0.000107,0.000155,0.000163,6e-05,0.001376,0.006359,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.00046,0.002511,0.001094,0.000109,0.000136,0.000164,6e-05,0.001336,0.006249,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000524,0.008221,0.001044,0.000298,0.202902,0.00035,0.000258,0.002264,0.216303,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000673,0.003677,0.001135,0.000214,0.000313,0.000194,0.000103,0.001355,0.008081,256,0,256,0,0
