; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","wisdom","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503504843,"CurrentTimeLocal","Wed Aug 23 18:14:03 2017","Hostname","taurusi4036","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000286
; "Time_ContextDestroy [ms]", 0.000168
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,7,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,8,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,9,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,10,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",8,16,0,11,5,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,0,6,"Warmup",0.000922,0.028115,0.019207,0.000471,0.001531,0.001242,0.000244,0.001361,0.054485,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,1,6,"Warmup",0.000976,0.028106,0.018701,0.000479,0.001434,0.001243,0.000243,0.001355,0.053921,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,2,6,"Success",0.00101,0.028155,0.018972,0.000441,0.001528,0.001223,0.000255,0.001357,0.054349,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,3,6,"Success",0.000934,0.027971,0.019196,0.000465,0.001429,0.001233,0.000243,0.001451,0.054325,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,4,6,"Success",0.000958,0.027238,0.018904,0.000457,0.001407,0.001153,0.000237,0.001293,0.053003,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,5,6,"Success",0.000978,0.028424,0.018944,0.00048,0.001535,0.001243,0.000257,0.001287,0.054551,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,6,6,"Success",0.000929,0.027883,0.019087,0.000447,0.001454,0.001237,0.000247,0.001409,0.054076,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,7,6,"Success",0.001097,0.027815,0.018806,0.000459,0.001483,0.001231,0.000248,0.00135,0.053905,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,8,6,"Success",0.001035,0.02816,0.019004,0.000455,0.001499,0.001233,0.000246,0.001421,0.054434,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,9,6,"Success",0.001042,0.028272,0.01915,0.000463,0.001511,0.001232,0.000242,0.001359,0.054673,2048,0,2048,0,0
"Fftw","Inplace","Complex","float",2,"powerof2",16,16,0,10,6,"Success",0.001049,0.027803,0.019028,0.000457,0.00152,0.001223,0.000243,0.001399,0.054114,2048,0,2048,0,0
