; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161863,"CurrentTimeLocal","Tue Sep 15 11:24:23 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,4,4,"Success",0.000205,64.526367,63.524128,0.000334,0.008689,0.007804,0.00067,0.005803,128.074393,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,5,4,"Success",0.000275,64.436837,63.397977,0.000306,0.007693,0.008291,0.000589,0.005731,127.858079,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,6,4,"Success",0.000313,64.605169,63.302144,0.000309,0.007112,0.00794,0.000268,0.006174,127.929811,8000,0,8000,4.8912017524e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,7,4,"Success",0.000287,64.170906,63.567879,0.000328,0.007252,0.007012,0.000695,0.005652,127.760383,8000,0,8000,5.3599707364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,8,4,"Success",0.000225,64.589334,63.328059,0.00031,0.007144,0.006988,0.000578,0.005299,127.938306,8000,0,8000,5.4315595314e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,9,4,"Success",0.000199,64.424129,63.6328,0.000346,0.007486,0.007759,0.000689,0.00558,128.079368,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,10,4,"Success",0.000262,64.841589,63.221436,0.000307,0.007803,0.008011,0.000666,0.006232,128.086677,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,11,4,"Success",0.000277,66.098207,63.406156,0.000314,0.007715,0.008093,0.000698,0.005072,129.526888,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,12,4,"Success",0.000275,64.564861,63.488594,0.000377,0.007894,0.008211,0.000264,0.005697,128.076551,8000,0,8000,4.8912017524e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,13,4,"Success",0.000215,65.352832,63.035185,0.000425,0.007682,0.007219,0.000664,0.005744,128.41035,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,14,4,"Success",0.000297,65.589175,63.452192,0.000351,0.00757,0.008045,0.000656,0.005559,129.064214,8000,0,8000,5.176953672e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,15,4,"Success",0.000283,65.046151,63.674033,0.000308,0.007472,0.0078,0.000668,0.005353,128.742435,8000,0,8000,5.3424029532e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,16,4,"Success",0.000251,64.72639,63.629086,0.000369,0.007947,0.007843,0.000629,0.006166,128.379055,8000,0,8000,5.0721306145e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,17,4,"Success",0.000224,64.867199,63.350416,0.000311,0.007623,0.00691,0.000621,0.005271,128.238946,8000,0,8000,5.2991955707e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,18,4,"Success",0.000252,64.445831,63.269825,0.000313,0.007936,0.008296,0.00059,0.005883,127.739295,8000,0,8000,4.9474881695e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",500,0,0,19,4,"Success",0.000282,64.356363,63.377658,0.000381,0.00708,0.007895,0.000681,0.004898,127.755608,8000,0,8000,5.4315595314e-17,0
